"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-01-24	"other lineages"	0	"0%"
2022-01-24	"XAC"	1	"100%"
2022-01-24	"XAQ"	0	"0%"
2022-01-24	"XBB"	0	"0%"
2022-01-24	"XBB.1"	0	"0%"
2022-01-24	"XBB.1.15"	0	"0%"
2022-01-24	"XBB.1.16"	0	"0%"
2022-01-24	"XBB.1.5"	0	"0%"
2022-01-24	"XBB.1.5.1"	0	"0%"
2022-01-24	"XBB.1.5.11"	0	"0%"
2022-01-24	"XBB.1.5.12"	0	"0%"
2022-01-24	"XBB.1.5.13"	0	"0%"
2022-01-24	"XBB.1.5.15"	0	"0%"
2022-01-24	"XBB.1.5.17"	0	"0%"
2022-01-24	"XBB.1.5.18"	0	"0%"
2022-01-24	"XBB.1.5.2"	0	"0%"
2022-01-24	"XBB.1.5.20"	0	"0%"
2022-01-24	"XBB.1.5.21"	0	"0%"
2022-01-24	"XBB.1.5.31"	0	"0%"
2022-01-24	"XBB.1.5.32"	0	"0%"
2022-01-24	"XBB.1.5.33"	0	"0%"
2022-01-24	"XBB.1.5.39"	0	"0%"
2022-01-24	"XBB.1.5.7"	0	"0%"
2022-01-24	"XBB.1.9.1"	0	"0%"
2022-01-24	"XBF"	0	"0%"
2022-01-24	"XBM"	0	"0%"
2022-02-21	"other lineages"	2	"25%"
2022-02-21	"XAC"	6	"75%"
2022-02-21	"XAQ"	0	"0%"
2022-02-21	"XBB"	0	"0%"
2022-02-21	"XBB.1"	0	"0%"
2022-02-21	"XBB.1.15"	0	"0%"
2022-02-21	"XBB.1.16"	0	"0%"
2022-02-21	"XBB.1.5"	0	"0%"
2022-02-21	"XBB.1.5.1"	0	"0%"
2022-02-21	"XBB.1.5.11"	0	"0%"
2022-02-21	"XBB.1.5.12"	0	"0%"
2022-02-21	"XBB.1.5.13"	0	"0%"
2022-02-21	"XBB.1.5.15"	0	"0%"
2022-02-21	"XBB.1.5.17"	0	"0%"
2022-02-21	"XBB.1.5.18"	0	"0%"
2022-02-21	"XBB.1.5.2"	0	"0%"
2022-02-21	"XBB.1.5.20"	0	"0%"
2022-02-21	"XBB.1.5.21"	0	"0%"
2022-02-21	"XBB.1.5.31"	0	"0%"
2022-02-21	"XBB.1.5.32"	0	"0%"
2022-02-21	"XBB.1.5.33"	0	"0%"
2022-02-21	"XBB.1.5.39"	0	"0%"
2022-02-21	"XBB.1.5.7"	0	"0%"
2022-02-21	"XBB.1.9.1"	0	"0%"
2022-02-21	"XBF"	0	"0%"
2022-02-21	"XBM"	0	"0%"
2022-02-28	"other lineages"	0	"0%"
2022-02-28	"XAC"	3	"75%"
2022-02-28	"XAQ"	1	"25%"
