"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"KP.2*"	0.23355449	0	1.04916	19	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"KP.3.1.1"	0.18555117	0.166996053	0.204106287	28	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"MC*"	0.18555117	0.166996053	0.204106287	28	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"KP.2.3"	0.18071014	0.162639126	0.198781154	14	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"KP.2.3*"	0.18071014	0.162639126	0.198781154	14	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"KP.3.1.4"	0.17779305	0.160013745	0.195572355	22	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"MM*"	0.17779305	0.160013745	0.195572355	22	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"KP.3.3*"	0.16345451	0.147109059	0.179799961	12	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"KP.3.1*"	0.16177182	0	0.45773	71	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"KP.2.3*"	0.16001372	0.0875	0.23253	84	"Quebec"	0	"dashed"	"JN.1*"
"KP.2.3"	0.1585168	0.08524	0.23179	77	"Quebec"	0	"dashed"	"JN.1"
"MC*"	0.15797289	0.142175601	0.173770179	213	"Quebec"	0	"solid"	"JN.1*"
"KP.3.1.1"	0.15780888	0.142027992	0.173589768	210	"Quebec"	0	"solid"	"JN.1"
"LZ*"	0.15671389	0.0641	0.24933	15	"Quebec"	0	"dashed"	"JN.1*"
"LZ.1"	0.15454697	0.03994	0.26915	12	"Quebec"	0	"dashed"	"JN.1"
"LZ.1*"	0.15454697	0.03994	0.26915	12	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.3*"	0.15159979	0.11405	0.18915	180	"British Columbia"	0	"dashed"	"JN.1*"
"KP.3.3"	0.15120522	0.11357	0.18884	172	"British Columbia"	0	"dashed"	"JN.1"
"MC*"	0.15018282	0.07629	0.22407	221	"British Columbia"	0	"dashed"	"JN.1*"
"KP.3"	0.1500094	0.06037	0.23965	24	"Quebec"	0	"dashed"	"JN.1"
"MC*"	0.14937952	0.12635	0.17241	1925	"Canada"	0	"dashed"	"JN.1*"
"KP.3.1.1"	0.14925804	0.12621	0.1723	1895	"Canada"	0	"dashed"	"JN.1"
"KP.3.1.1"	0.14442558	0.09046	0.19839	219	"British Columbia"	0	"dashed"	"JN.1"
"LB.1.3*"	0.14373738	0.0452	0.24228	20	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.3*"	0.14043175	0	0.30908	12	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.3.1"	0.13119476	0.118075284	0.144314236	49	"Ontario"	0	"solid"	"JN.1"
"KP.3.1"	0.13098185	0	0.41674	16	"Newfoundland and Labrador"	0	"dashed"	"JN.1"
"LP.1"	0.12888322	0.05512	0.20264	20	"Quebec"	0	"dashed"	"JN.1"
"LP.1*"	0.12888322	0.05512	0.20264	20	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.3*"	0.12862707	0.08523	0.17202	241	"Ontario"	0	"dashed"	"JN.1*"
"LW*"	0.12816417	0.06471	0.19162	62	"Quebec"	0	"dashed"	"JN.1*"
"KP.1.1.3"	0.1278371	0.08125	0.17443	34	"British Columbia"	0	"dashed"	"JN.1"
"KS.1.3"	0.12684359	0.114159231	0.139527949	38	"Ontario"	0	"solid"	"JN.1"
"KP.3.2.3"	0.12637599	0.06319	0.18956	60	"Quebec"	0	"dashed"	"JN.1"
"LB.1.3"	0.12616166	0.02784	0.22448	12	"Quebec"	0	"dashed"	"JN.1"
"KS.1.3"	0.125132	0.08438	0.16589	38	"Canada"	0	"dashed"	"JN.1"
"KP.1.1.3"	0.12295855	0.0474	0.19852	24	"Quebec"	0	"dashed"	"JN.1"
"LB.1.7"	0.12067801	0.02828	0.21307	12	"Quebec"	0	"dashed"	"JN.1"
"LB.1.7*"	0.12067801	0.02828	0.21307	12	"Quebec"	0	"dashed"	"JN.1*"
"KP.2.2"	0.11960457	0.05103	0.18818	19	"Quebec"	0	"dashed"	"JN.1"
"LF.2"	0.11947033	0.07107	0.16787	19	"British Columbia"	0	"dashed"	"JN.1"
"KP.2.3"	0.11895199	0.09046	0.14744	208	"British Columbia"	0	"dashed"	"JN.1"
"LB.1.4"	0.11886964	0.106982676	0.130756604	12	"British Columbia"	0	"solid"	"JN.1"
"LB.1.4*"	0.11886964	0.106982676	0.130756604	12	"British Columbia"	0	"solid"	"JN.1*"
"KP.2.3*"	0.11851196	0.09024	0.14678	212	"British Columbia"	0	"dashed"	"JN.1*"
"KP.3.3"	0.11756054	0.07508	0.16004	130	"Ontario"	0	"dashed"	"JN.1"
"KU.2"	0.11695831	0.06377	0.17015	19	"British Columbia"	0	"dashed"	"JN.1"
"KU*"	0.11695831	0.06377	0.17015	19	"British Columbia"	0	"dashed"	"JN.1*"
"KP.3.2*"	0.1159964	0.06294	0.16905	78	"Quebec"	0	"dashed"	"JN.1*"
"KS.1.1"	0.11593873	0.104344857	0.127532603	18	"British Columbia"	0	"solid"	"JN.1"
"LP*"	0.11584471	0.06121	0.17048	45	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.2.4"	0.11498552	0.103486968	0.126484072	15	"British Columbia"	0	"solid"	"JN.1"
"KP.3"	0.11468844	0	0.28992	14	"Nova Scotia"	0	"dashed"	"JN.1"
"KP.3.3*"	0.11360667	0.09714	0.13007	648	"Canada"	0	"dashed"	"JN.1*"
"LB.1.2*"	0.1131191	0.07533	0.1509	38	"British Columbia"	0	"dashed"	"JN.1*"
"JN.1.50"	0.11270879	0.101437911	0.123979669	18	"Ontario"	0	"solid"	"JN.1"
"JN.1.65.1"	0.11264547	0.01927	0.20602	11	"Ontario"	0	"dashed"	"JN.1"
"MF*"	0.11264547	0.01927	0.20602	11	"Ontario"	0	"dashed"	"JN.1*"
"LB.1.2"	0.11222469	0.07442	0.15003	36	"British Columbia"	0	"dashed"	"JN.1"
"KP.3.5"	0.11165488	0.07143	0.15188	30	"British Columbia"	0	"dashed"	"JN.1"
"LB*"	0.11105755	0.06215	0.15997	88	"Quebec"	0	"dashed"	"JN.1*"
"LB.1*"	0.11105755	0.06215	0.15997	88	"Quebec"	0	"dashed"	"JN.1*"
"JN.1.9*"	0.11105755	0.06215	0.15997	88	"Quebec"	0	"dashed"	"JN.1*"
