pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,2020-02-01,5,2020,1.0,1,1.0,0.02,0,0.0,0.0,0.02,0.0,,,,,0.18,0.0,0.0,0.0
48,Alberta,Alberta,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
46,Manitoba,Manitoba,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
35,Ontario,Ontario,2020-02-01,5,2020,1.0,3,3.0,0.02,0,0.0,0.0,0.02,0.0,,,,,0.43,0.0,0.0,0.0
24,Quebec,Québec,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
12,Nova Scotia,Nouvelle-Écosse,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
60,Yukon,Yukon,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
62,Nunavut,Nunavut,2020-02-01,5,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-02-01,5,2020,,0,0.0,,0,0.0,,,,,,,,0.0,,0.0,
1,Canada,Canada,2020-02-01,5,2020,,4,4.0,0.01,0,0.0,0.0,0.01,0.0,,,,,0.57,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,2020-02-08,6,2020,1.0,4,3.0,0.08,0,0.0,0.0,0.06,0.0,4.0,0.0,0.08,0.0,0.43,0.01,0.0,0.0
48,Alberta,Alberta,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Manitoba,Manitoba,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Ontario,Ontario,2020-02-08,6,2020,1.0,3,0.0,0.02,0,0.0,0.0,0.0,0.0,3.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
24,Quebec,Québec,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nova Scotia,Nouvelle-Écosse,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Yukon,Yukon,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Nunavut,Nunavut,2020-02-08,6,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-02-08,6,2020,,0,0.0,,0,0.0,,,,0.0,0.0,,,0.0,,0.0,
1,Canada,Canada,2020-02-08,6,2020,,7,3.0,0.02,0,0.0,0.0,0.01,0.0,7.0,0.0,0.02,0.0,0.43,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,2020-02-15,7,2020,1.0,4,0.0,0.08,0,0.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
48,Alberta,Alberta,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Manitoba,Manitoba,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Ontario,Ontario,2020-02-15,7,2020,1.0,3,0.0,0.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Quebec,Québec,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nova Scotia,Nouvelle-Écosse,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Yukon,Yukon,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-15,7,2020,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
